"id","point","bearing"
1,"0101000020E610000012225545E82C34C0AFA90166E9394B40",293
2,"0101000020E61000009CAD5AF7072C34C00F959965E9394B40",293
3,"0101000020E610000088964F93C82D34C00F959965E9394B40",293
4,"0101000020E610000012225545E82C34C0E94104B9C8394B40",293
5,"0101000020E610000012225545E82C34C069B6FE120A3A4B40",293
6,"0101000020E61000009CAD5AF7072C34C04A2D9CB8C8394B40",293
7,"0101000020E61000009CAD5AF7072C34C0C9A196120A3A4B40",293
8,"0101000020E610000088964F93C82D34C04A2D9CB8C8394B40",293
9,"0101000020E610000088964F93C82D34C0C9A196120A3A4B40",293
10,"0101000020E6100000EE4A60A9272B34C030576164E9394B40",293
